On the 0th level of the search tree
- Adding the 7 feature with accuracy: 0.79
- Adding the 9 feature with accuracy: 0.78
- Adding the 11 feature with accuracy: 0.7812
- Adding the 12 feature with accuracy: 0.7798
- Adding the 13 feature with accuracy: 0.7786
- Adding the 14 feature with accuracy: 0.7886
- Adding the 15 feature with accuracy: 0.774
- Adding the 16 feature with accuracy: 0.7764
- Adding the 19 feature with accuracy: 0.7886
- Adding the 20 feature with accuracy: 0.7812
- Adding the 21 feature with accuracy: 0.788
- Adding the 23 feature with accuracy: 0.7814
- Adding the 24 feature with accuracy: 0.7866
- Adding the 25 feature with accuracy: 0.7796
- Adding the 26 feature with accuracy: 0.7838
- Adding the 27 feature with accuracy: 0.7826
- Adding the 28 feature with accuracy: 0.7784
- Adding the 29 feature with accuracy: 0.7832
- Adding the 30 feature with accuracy: 0.785
- Adding the 31 feature with accuracy: 0.7846
- Adding the 32 feature with accuracy: 0.7796
- Adding the 34 feature with accuracy: 0.7754
- Adding the 35 feature with accuracy: 0.7782
- Adding the 36 feature with accuracy: 0.787
- Adding the 37 feature with accuracy: 0.7812
- Adding the 38 feature with accuracy: 0.7854
- Adding the 39 feature with accuracy: 0.7914
- Adding the 40 feature with accuracy: 0.7872
- Adding the 41 feature with accuracy: 0.7796
- Adding the 42 feature with accuracy: 0.7846
- Adding the 44 feature with accuracy: 0.7844
- Adding the 45 feature with accuracy: 0.787
- Adding the 47 feature with accuracy: 0.7806
- Adding the 48 feature with accuracy: 0.7808
- Adding the 49 feature with accuracy: 0.7774
- Adding the 50 feature with accuracy: 0.7864

**Warning, Accuracy has decreased! Continuing search in case of local maxima**

On level 10, added feature 38 to current set. With current features: [9, 3, 45, 17, 0, 7, 21, 32, 42, 16, 38] and local maximum accuracy 0.7914

On the 11th level of the search tree
- Adding the 2 feature with accuracy: 0.7706
- Adding the 3 feature with accuracy: 0.778
- Adding the 5 feature with accuracy: 0.7638
- Adding the 6 feature with accuracy: 0.7762
- Adding the 7 feature with accuracy: 0.775
- Adding the 9 feature with accuracy: 0.7762
- Adding the 11 feature with accuracy: 0.7768
- Adding the 12 feature with accuracy: 0.7754
- Adding the 13 feature with accuracy: 0.768
- Adding the 14 feature with accuracy: 0.7768
- Adding the 15 feature with accuracy: 0.7664
- Adding the 16 feature with accuracy: 0.7678
- Adding the 19 feature with accuracy: 0.7776
- Adding the 20 feature with accuracy: 0.7708
- Adding the 21 feature with accuracy: 0.7668
- Adding the 23 feature with accuracy: 0.7758
- Adding the 24 feature with accuracy: 0.7736
